,value__sum_values,value__median,value__mean,value__maximum,value__minimum,y,cat
0,-0.58882,-0.58882,-0.58882,-0.58882,-0.58882,0.0,0.0
1,-0.27077,-0.27077,-0.27077,-0.27077,-0.27077,0.0,-0.027071
2,0.19087,0.19087,0.19087,0.19087,0.19087,-0.027071,-0.0052826
3,0.25434,0.25434,0.25434,0.25434,0.25434,-0.0052826,0.020677
4,0.41568,0.41568,0.41568,0.41568,0.41568,0.020677,0.060107
5,0.2262,0.2262,0.2262,0.2262,0.2262,0.060107,0.076632
6,0.24962,0.24962,0.24962,0.24962,0.24962,0.076632,0.093791
7,0.056544,0.056544,0.056544,0.056544,0.056544,0.093791,0.09007
8,0.17753,0.17753,0.17753,0.17753,0.17753,0.09007,0.098714
9,0.11362,0.11362,0.11362,0.11362,0.11362,0.098714,0.10016
10,0.31915,0.31915,0.31915,0.31915,0.31915,0.10016,0.12175
11,0.24398,0.24398,0.24398,0.24398,0.24398,0.12175,0.13372
12,0.33762,0.33762,0.33762,0.33762,0.33762,0.13372,0.15361
13,0.094201,0.094201,0.094201,0.094201,0.094201,0.15361,0.14769
14,0.03944,0.03944,0.03944,0.03944,0.03944,0.14769,0.13697
15,-0.25481,-0.25481,-0.25481,-0.25481,-0.25481,0.13697,0.098254
16,-0.2154,-0.2154,-0.2154,-0.2154,-0.2154,0.098254,0.067074
17,-0.27436,-0.27436,-0.27436,-0.27436,-0.27436,0.067074,0.033009
18,0.084471,0.084471,0.084471,0.084471,0.084471,0.033009,0.038148
19,0.33735,0.33735,0.33735,0.33735,0.33735,0.038148,0.06798
20,0.90588,0.90588,0.90588,0.90588,0.90588,0.06798,0.15071
21,1.2025,1.2025,1.2025,1.2025,1.2025,0.15071,0.25149
22,1.6382,1.6382,1.6382,1.6382,1.6382,0.25149,0.37623
23,1.6712,1.6712,1.6712,1.6712,1.6712,0.37623,0.48162
24,1.7979,1.7979,1.7979,1.7979,1.7979,0.48162,0.57651
25,1.5696,1.5696,1.5696,1.5696,1.5696,0.57651,0.63845
26,1.5502,1.5502,1.5502,1.5502,1.5502,0.63845,0.68858
27,1.3105,1.3105,1.3105,1.3105,1.3105,0.68858,0.71696
28,1.3811,1.3811,1.3811,1.3811,1.3811,0.71696,0.74518
29,1.2634,1.2634,1.2634,1.2634,1.2634,0.74518,0.76328
30,1.4119,1.4119,1.4119,1.4119,1.4119,0.76328,0.78652
31,1.2766,1.2766,1.2766,1.2766,1.2766,0.78652,0.80002
32,1.3074,1.3074,1.3074,1.3074,1.3074,0.80002,0.81331
33,0.99843,0.99843,0.99843,0.99843,0.99843,0.81331,0.81052
34,0.87584,0.87584,0.87584,0.87584,0.87584,0.81052,0.8021
35,0.51168,0.51168,0.51168,0.51168,0.51168,0.8021,0.77619
36,0.47935,0.47935,0.47935,0.47935,0.47935,0.77619,0.74995
37,0.34712,0.34712,0.34712,0.34712,0.34712,0.74995,0.71773
38,0.63139,0.63139,0.63139,0.63139,0.63139,0.71773,0.70385
39,0.80871,0.80871,0.80871,0.80871,0.80871,0.70385,0.70151
40,1.301,1.301,1.301,1.301,1.301,0.70151,0.72754
41,1.5209,1.5209,1.5209,1.5209,1.5209,0.72754,0.76161
42,1.8797,1.8797,1.8797,1.8797,1.8797,0.76161,0.80794
43,1.836,1.836,1.836,1.836,1.836,0.80794,0.84421
44,1.8864,1.8864,1.8864,1.8864,1.8864,0.84421,0.87657
45,1.5825,1.5825,1.5825,1.5825,1.5825,0.87657,0.89189
46,1.4884,1.4884,1.4884,1.4884,1.4884,0.89189,0.90159
47,1.1752,1.1752,1.1752,1.1752,1.1752,0.90159,0.89815
48,1.1739,1.1739,1.1739,1.1739,1.1739,0.89815,0.89497
49,0.98604,0.98604,0.98604,0.98604,0.98604,0.89497,0.88462
50,1.0663,1.0663,1.0663,1.0663,1.0663,0.88462,0.87836
51,0.86514,0.86514,0.86514,0.86514,0.86514,0.87836,0.86425
52,0.83241,0.83241,0.83241,0.83241,0.83241,0.86425,0.84971
53,0.46275,0.46275,0.46275,0.46275,0.46275,0.84971,0.81928
54,0.28232,0.28232,0.28232,0.28232,0.28232,0.81928,0.78107
55,-0.13657,-0.13657,-0.13657,-0.13657,-0.13657,0.78107,0.72086
56,-0.22032,-0.22032,-0.22032,-0.22032,-0.22032,0.72086,0.65536
57,-0.40053,-0.40053,-0.40053,-0.40053,-0.40053,0.65536,0.57762
58,-0.1606,-0.1606,-0.1606,-0.1606,-0.1606,0.57762,0.51848
59,-0.023852,-0.023852,-0.023852,-0.023852,-0.023852,0.51848,0.47249
60,0.43172,0.43172,0.43172,0.43172,0.43172,0.47249,0.46617
61,0.61893,0.61893,0.61893,0.61893,0.61893,0.46617,0.47537
62,0.94916,0.94916,0.94916,0.94916,0.94916,0.47537,0.5091
63,0.88111,0.88111,0.88111,0.88111,0.88111,0.5091,0.53339
64,0.9113,0.9113,0.9113,0.9113,0.9113,0.53339,0.55684
65,0.59148,0.59148,0.59148,0.59148,0.59148,0.55684,0.5546
66,0.48583,0.48583,0.48583,0.48583,0.48583,0.5546,0.54488
67,0.1654,0.1654,0.1654,0.1654,0.1654,0.54488,0.51202
68,0.16118,0.16118,0.16118,0.16118,0.16118,0.51202,0.48104
69,-0.025346,-0.025346,-0.025346,-0.025346,-0.025346,0.48104,0.43707
70,0.060553,0.060553,0.060553,0.060553,0.060553,0.43707,0.40318
71,-0.13087,-0.13087,-0.13087,-0.13087,-0.13087,0.40318,0.35508
72,-0.14969,-0.14969,-0.14969,-0.14969,-0.14969,0.35508,0.30857
73,-0.50143,-0.50143,-0.50143,-0.50143,-0.50143,0.30857,0.23245
74,-0.66002,-0.66002,-0.66002,-0.66002,-0.66002,0.23245,0.14601
75,-1.0533,-1.0533,-1.0533,-1.0533,-1.0533,0.14601,0.02702
76,-1.1077,-1.1077,-1.1077,-1.1077,-1.1077,0.02702,-0.086234
77,-1.2551,-1.2551,-1.2551,-1.2551,-1.2551,-0.086234,-0.20058
78,-0.97906,-0.97906,-0.97906,-0.97906,-0.97906,-0.20058,-0.27384
79,-0.80302,-0.80302,-0.80302,-0.80302,-0.80302,-0.27384,-0.32154
80,-0.30517,-0.30517,-0.30517,-0.30517,-0.30517,-0.32154,-0.31903
81,-0.072928,-0.072928,-0.072928,-0.072928,-0.072928,-0.31903,-0.29565
82,0.3049,0.3049,0.3049,0.3049,0.3049,-0.29565,-0.23897
83,0.28678,0.28678,0.28678,0.28678,0.28678,-0.23897,-0.18833
84,0.369,0.369,0.369,0.369,0.369,-0.18833,-0.13382
85,0.10308,0.10308,0.10308,0.10308,0.10308,-0.13382,-0.1104
86,0.052937,0.052937,0.052937,0.052937,0.052937,-0.1104,-0.094197
87,-0.21062,-0.21062,-0.21062,-0.21062,-0.21062,-0.094197,-0.1057
88,-0.15686,-0.15686,-0.15686,-0.15686,-0.15686,-0.1057,-0.11071
89,-0.28456,-0.28456,-0.28456,-0.28456,-0.28456,-0.11071,-0.12781
90,-0.13925,-0.13925,-0.13925,-0.13925,-0.13925,-0.12781,-0.12886
91,-0.27094,-0.27094,-0.27094,-0.27094,-0.27094,-0.12886,-0.14274
92,-0.22998,-0.22998,-0.22998,-0.22998,-0.22998,-0.14274,-0.15118
93,-0.52215,-0.52215,-0.52215,-0.52215,-0.52215,-0.15118,-0.18711
94,-0.62165,-0.62165,-0.62165,-0.62165,-0.62165,-0.18711,-0.2285
95,-0.95655,-0.95655,-0.95655,-0.95655,-0.95655,-0.2285,-0.296
96,-0.95367,-0.95367,-0.95367,-0.95367,-0.95367,-0.296,-0.35423
97,-1.045,-1.045,-1.045,-1.045,-1.045,-0.35423,-0.41228
98,-0.7143,-0.7143,-0.7143,-0.7143,-0.7143,-0.41228,-0.43529
99,-0.48539,-0.48539,-0.48539,-0.48539,-0.48539,-0.43529,-0.43696
100,0.063346,0.063346,0.063346,0.063346,0.063346,-0.43696,-0.39254
101,0.34428,0.34428,0.34428,0.34428,0.34428,-0.39254,-0.32612
102,0.76839,0.76839,0.76839,0.76839,0.76839,-0.32612,-0.22373
103,0.79394,0.79394,0.79394,0.79394,0.79394,-0.22373,-0.12474
104,0.91702,0.91702,0.91702,0.91702,0.91702,-0.12474,-0.021148
105,0.68896,0.68896,0.68896,0.68896,0.68896,-0.021148,0.049819
106,0.67353,0.67353,0.67353,0.67353,0.67353,0.049819,0.11176
107,0.44137,0.44137,0.44137,0.44137,0.44137,0.11176,0.14414
108,0.52308,0.52308,0.52308,0.52308,0.52308,0.14414,0.18094
109,0.41974,0.41974,0.41974,0.41974,0.41974,0.18094,0.20375
110,0.58572,0.58572,0.58572,0.58572,0.58572,0.20375,0.23982
111,0.47091,0.47091,0.47091,0.47091,0.47091,0.23982,0.26107
112,0.52489,0.52489,0.52489,0.52489,0.52489,0.26107,0.28496
113,0.2418,0.2418,0.2418,0.2418,0.2418,0.28496,0.28025
114,0.14741,0.14741,0.14741,0.14741,0.14741,0.28025,0.26723
115,-0.18639,-0.18639,-0.18639,-0.18639,-0.18639,0.26723,0.22395
116,-0.18641,-0.18641,-0.18641,-0.18641,-0.18641,0.22395,0.18423
117,-0.28465,-0.28465,-0.28465,-0.28465,-0.28465,0.18423,0.13836
118,0.0351,0.0351,0.0351,0.0351,0.0351,0.13836,0.12813
119,0.24913,0.24913,0.24913,0.24913,0.24913,0.12813,0.13994
120,0.77909,0.77909,0.77909,0.77909,0.77909,0.13994,0.2019
121,1.0374,1.0374,1.0374,1.0374,1.0374,0.2019,0.28037
122,1.4352,1.4352,1.4352,1.4352,1.4352,0.28037,0.38281
123,1.4307,1.4307,1.4307,1.4307,1.4307,0.38281,0.46803
124,1.5203,1.5203,1.5203,1.5203,1.5203,0.46803,0.54553
125,1.2553,1.2553,1.2553,1.2553,1.2553,0.54553,0.59155
126,1.1998,1.1998,1.1998,1.1998,1.1998,0.59155,0.62705
127,0.9244,0.9244,0.9244,0.9244,0.9244,0.62705,0.64002
128,0.96,0.96,0.96,0.96,0.96,0.64002,0.65374
129,0.80784,0.80784,0.80784,0.80784,0.80784,0.65374,0.65636
130,0.92248,0.92248,0.92248,0.92248,0.92248,0.65636,0.66584
131,0.75404,0.75404,0.75404,0.75404,0.75404,0.66584,0.6639
132,0.75229,0.75229,0.75229,0.75229,0.75229,0.6639,0.66203
133,0.41164,0.41164,0.41164,0.41164,0.41164,0.66203,0.63874
134,0.25808,0.25808,0.25808,0.25808,0.25808,0.63874,0.60678
135,-0.13626,-0.13626,-0.13626,-0.13626,-0.13626,0.60678,0.54854
136,-0.19794,-0.19794,-0.19794,-0.19794,-0.19794,0.54854,0.48751
137,-0.35868,-0.35868,-0.35868,-0.35868,-0.35868,0.48751,0.4156
138,-0.10204,-0.10204,-0.10204,-0.10204,-0.10204,0.4156,0.36922
139,0.048571,0.048571,0.048571,0.048571,0.048571,0.36922,0.33946
140,0.51505,0.51505,0.51505,0.51505,0.51505,0.33946,0.35378
141,0.71011,0.71011,0.71011,0.71011,0.71011,0.35378,0.38343
142,1.0451,1.0451,1.0451,1.0451,1.0451,0.38343,0.43737
143,0.9786,0.9786,0.9786,0.9786,0.9786,0.43737,0.47847
144,1.0071,1.0071,1.0071,1.0071,1.0071,0.47847,0.51619
145,0.68244,0.68244,0.68244,0.68244,0.68244,0.51619,0.52484
146,0.56867,0.56867,0.56867,0.56867,0.56867,0.52484,0.52407
147,0.23689,0.23689,0.23689,0.23689,0.23689,0.52407,0.49812
148,0.21811,0.21811,0.21811,0.21811,0.21811,0.49812,0.47264
149,0.013858,0.013858,0.013858,0.013858,0.013858,0.47264,0.43242
150,0.078924,0.078924,0.078924,0.078924,0.078924,0.43242,0.40042
151,-0.13636,-0.13636,-0.13636,-0.13636,-0.13636,0.40042,0.35202
152,-0.182,-0.182,-0.182,-0.182,-0.182,0.35202,0.30278
153,-0.5634,-0.5634,-0.5634,-0.5634,-0.5634,0.30278,0.22113
154,-0.75437,-0.75437,-0.75437,-0.75437,-0.75437,0.22113,0.12622
155,-1.1826,-1.1826,-1.1826,-1.1826,-1.1826,0.12622,-0.0040552
156,-1.2745,-1.2745,-1.2745,-1.2745,-1.2745,-0.0040552,-0.13035
157,-1.4616,-1.4616,-1.4616,-1.4616,-1.4616,-0.13035,-0.25825
158,-1.2273,-1.2273,-1.2273,-1.2273,-1.2273,-0.25825,-0.34597
159,-1.095,-1.095,-1.095,-1.095,-1.095,-0.34597,-0.4094
160,-0.64269,-0.64269,-0.64269,-0.64269,-0.64269,-0.4094,-0.42684
161,-0.45747,-0.45747,-0.45747,-0.45747,-0.45747,-0.42684,-0.42706
162,-0.12798,-0.12798,-0.12798,-0.12798,-0.12798,-0.42706,-0.39963
163,-0.19553,-0.19553,-0.19553,-0.19553,-0.19553,-0.39963,-0.38023
164,-0.16361,-0.16361,-0.16361,-0.16361,-0.16361,-0.38023,-0.35971
165,-0.48045,-0.48045,-0.48045,-0.48045,-0.48045,-0.35971,-0.36882
166,-0.5819,-0.5819,-0.5819,-0.5819,-0.5819,-0.36882,-0.38571
167,-0.8969,-0.8969,-0.8969,-0.8969,-0.8969,-0.38571,-0.42711
168,-0.89447,-0.89447,-0.89447,-0.89447,-0.89447,-0.42711,-0.4629
169,-1.0731,-1.0731,-1.0731,-1.0731,-1.0731,-0.4629,-0.5078
170,-0.97815,-0.97815,-0.97815,-0.97815,-0.97815,-0.5078,-0.53942
171,-1.1593,-1.1593,-1.1593,-1.1593,-1.1593,-0.53942,-0.57967
172,-1.1666,-1.1666,-1.1666,-1.1666,-1.1666,-0.57967,-0.61467
173,-1.5057,-1.5057,-1.5057,-1.5057,-1.5057,-0.61467,-0.66607
174,-1.6505,-1.6505,-1.6505,-1.6505,-1.6505,-0.66607,-0.71733
175,-2.0288,-2.0288,-2.0288,-2.0288,-2.0288,-0.71733,-0.77936
176,-2.0672,-2.0672,-2.0672,-2.0672,-2.0672,-0.77936,-0.83113
177,-2.1974,-2.1974,-2.1974,-2.1974,-2.1974,-0.83113,-0.87854
178,-1.903,-1.903,-1.903,-1.903,-1.903,-0.87854,-0.90598
179,-1.7076,-1.7076,-1.7076,-1.7076,-1.7076,-0.90598,-0.92208
180,-1.1893,-1.1893,-1.1893,-1.1893,-1.1893,-0.92208,-0.91732
181,-0.93558,-0.93558,-0.93558,-0.93558,-0.93558,-0.91732,-0.90338
182,-0.53524,-0.53524,-0.53524,-0.53524,-0.53524,-0.90338,-0.87424
183,-0.52985,-0.52985,-0.52985,-0.52985,-0.52985,-0.87424,-0.84592
184,-0.42316,-0.42316,-0.42316,-0.42316,-0.42316,-0.84592,-0.81377
185,-0.66365,-0.66365,-0.66365,-0.66365,-0.66365,-0.81377,-0.79478
186,-0.68744,-0.68744,-0.68744,-0.68744,-0.68744,-0.79478,-0.77824
187,-0.92376,-0.92376,-0.92376,-0.92376,-0.92376,-0.77824,-0.77509
188,-0.84188,-0.84188,-0.84188,-0.84188,-0.84188,-0.77509,-0.76801
189,-0.94062,-0.94062,-0.94062,-0.94062,-0.94062,-0.76801,-0.7667
190,-0.76554,-0.76554,-0.76554,-0.76554,-0.76554,-0.7667,-0.75635
191,-0.86668,-0.86668,-0.86668,-0.86668,-0.86668,-0.75635,-0.75227
192,-0.79443,-0.79443,-0.79443,-0.79443,-0.79443,-0.75227,-0.74467
193,-1.0546,-1.0546,-1.0546,-1.0546,-1.0546,-0.74467,-0.75181
194,-1.1214,-1.1214,-1.1214,-1.1214,-1.1214,-0.75181,-0.76166
195,-1.4229,-1.4229,-1.4229,-1.4229,-1.4229,-0.76166,-0.78567
196,-1.386,-1.386,-1.386,-1.386,-1.386,-0.78567,-0.80457
197,-1.4428,-1.4428,-1.4428,-1.4428,-1.4428,-0.80457,-0.82359
